id,first,if_zxs,order,normal_c,first_name,normal_name,first_c
"20057","2017-06-24","0","2017-07-08","0","泰国椰青","原生竹浆本色纸","0"
"20255","2017-06-12","0",NULL,NULL,"丹东黄蚬",NULL,"0"
"20340","2017-06-13","0",NULL,NULL,"风干牛肉干",NULL,"1"
"20371","2017-06-23","0",NULL,NULL,"六鳌红蜜薯",NULL,"0"
"20579","2017-06-09","0","2017-06-18","1","生态鲜腐竹","法国猪肋排","0"
"20579","2017-06-09","0","2017-06-17","1","生态鲜腐竹","蓝莓","0"
"20579","2017-06-09","0","2017-06-29","1","生态鲜腐竹","麻辣小龙虾","0"
"20579","2017-06-09","0","2017-06-29","1","生态鲜腐竹","海南桥沙地瓜","0"
"20675","2017-06-27","0",NULL,NULL,"《海的女儿·黎明钟声》",NULL,"0"
"20776","2017-06-28","0",NULL,NULL,"泰国椰青",NULL,"1"
"20949","2017-06-23","1","2017-06-27","1","麻辣小龙虾","巨无霸金奇异果","0"
"20949","2017-06-23","1","2017-06-28","1","麻辣小龙虾","丹东黄蚬","0"
"20949","2017-06-23","1","2017-06-29","1","麻辣小龙虾","丹东黄蚬","0"
"20949","2017-06-23","1","2017-07-03","1","麻辣小龙虾","泰国椰青","0"
"20949","2017-06-23","1","2017-06-30","1","麻辣小龙虾","麻辣小海鲜","0"
"20949","2017-06-23","1","2017-06-26","1","麻辣小龙虾","麻辣小龙虾","0"
"20949","2017-06-23","1","2017-07-08","1","麻辣小龙虾","阳山水蜜桃","0"
"20983","2017-06-14","0","2017-06-16","1","刘老汉薄皮吊瓜","蓝莓","0"
"21018","2017-06-27","0","2017-06-27","0","丹东黄蚬","重庆小面","0"
"21018","2017-06-27","0","2017-07-08","0","丹东黄蚬","海阳网纹蜜瓜","0"
"21036","2017-06-17","0","2017-06-23","0","蓝莓","麻辣小龙虾","1"
"21107","2017-06-15","1","2017-06-26","1","丹东黄蚬","泰国椰青","1"
"21107","2017-06-15","1","2017-06-22","1","丹东黄蚬","夹心海苔","1"
"21107","2017-06-15","1","2017-06-22","0","丹东黄蚬","生态鲜腐竹","1"
"21107","2017-06-15","1","2017-06-18","1","丹东黄蚬","蓝莓","1"
"21173","2017-06-16","0",NULL,NULL,"蓝莓",NULL,"0"
"21197","2017-06-04","0",NULL,NULL,"刘老汉薄皮吊瓜",NULL,"0"
"21304","2017-06-13","0",NULL,NULL,"丹东黄蚬",NULL,"1"
"21362","2017-06-17","0",NULL,NULL,"蓝莓",NULL,"0"
"21453","2017-06-04","0",NULL,NULL,"泰国椰青",NULL,"0"
"21724","2017-06-14","0","2017-06-27","1","红心火龙果","珍珠小笼包","1"
"21724","2017-06-14","0","2017-06-15","0","红心火龙果","蓝莓","1"
"21724","2017-06-14","0","2017-06-17","1","红心火龙果","蓝莓","1"
"21724","2017-06-14","0","2017-07-07","0","红心火龙果","蓝莓","1"
"21724","2017-06-14","0","2017-06-27","1","红心火龙果","麻辣小龙虾","1"
"21795","2017-06-11","0",NULL,NULL,"蓝莓",NULL,"0"
"21906","2017-06-29","0",NULL,NULL,"便携榨汁神器",NULL,"1"
"22193","2017-06-10","0","2017-07-03","1","夹心海苔","刘老汉薄皮吊瓜","1"
"22193","2017-06-10","0","2017-07-08","1","夹心海苔","刘老汉薄皮吊瓜","1"
"22193","2017-06-10","0","2017-07-08","1","夹心海苔","刘老汉薄皮吊瓜","1"
"22193","2017-06-10","0","2017-06-18","1","夹心海苔","山楂优块","1"
"22339","2017-06-29","0",NULL,NULL,"多效过滤净水壶",NULL,"0"
"22718","2017-06-05","0","2017-07-04","0","刘老汉薄皮吊瓜","巨无霸金奇异果","0"
"22718","2017-06-05","0","2017-06-09","0","刘老汉薄皮吊瓜","刘老汉薄皮吊瓜","0"
"22718","2017-06-05","0","2017-06-23","0","刘老汉薄皮吊瓜","六鳌红蜜薯","0"
"23391","2017-06-15","0",NULL,NULL,"丹东黄蚬",NULL,"1"
"23522","2017-06-14","0","2017-07-07","0","蓝莓","古田鲜银耳","0"
"23522","2017-06-14","0","2017-06-16","1","蓝莓","黑糯玉米","0"
"23539","2017-06-23","1",NULL,NULL,"山楂优块",NULL,"0"
"23790","2017-06-15","0","2017-06-24","1","红心火龙果","六鳌红蜜薯","1"
"23790","2017-06-15","0","2017-06-20","1","红心火龙果","丹东黄蚬","1"
"23790","2017-06-15","0","2017-06-19","1","红心火龙果","蓝莓","1"
"23790","2017-06-15","0","2017-07-01","1","红心火龙果","蓝莓","1"
"23868","2017-06-08","0",NULL,NULL,"生态鲜腐竹",NULL,"0"
"24091","2017-06-05","0","2017-06-07","0","夹心海苔","法国儿童驱蚊手环","1"
"24429","2017-06-03","0",NULL,NULL,"泰国沙竹(山竹)",NULL,"0"
"24572","2017-06-12","0",NULL,NULL,"蓝莓",NULL,"0"
"25104","2017-06-02","0","2017-06-02","0","山楂优块","古田鲜银耳","0"
"25104","2017-06-02","0","2017-07-07","1","山楂优块","夹心海苔","0"
"25599","2017-06-17","0","2017-07-05","0","蓝莓","巨无霸金奇异果","1"
"25599","2017-06-17","0","2017-06-28","1","蓝莓","丹东黄蚬","1"
"25599","2017-06-17","0","2017-06-24","0","蓝莓","泰国椰青","1"
"25599","2017-06-17","0","2017-07-01","0","蓝莓","泰国椰青","1"
"25599","2017-06-17","0","2017-06-17","1","蓝莓","蓝莓","1"
"25599","2017-06-17","0","2017-07-01","0","蓝莓","蓝莓","1"
"25599","2017-06-17","0","2017-07-07","0","蓝莓","泰国沙竹(山竹)","1"
"25599","2017-06-17","0","2017-07-07","0","蓝莓","高山东魁杨梅","1"
"25599","2017-06-17","0","2017-06-23","0","蓝莓","麻辣小龙虾","1"
"25860","2017-06-23","0",NULL,NULL,"麻辣小龙虾",NULL,"0"
"26056","2017-06-25","0","2017-06-27","0","夹心海苔","五彩野鸡蛋","0"
"26056","2017-06-25","0","2017-07-08","0","夹心海苔","乐纯希腊酸奶","0"
"26056","2017-06-25","0","2017-06-27","0","夹心海苔","藜麦","0"
"26056","2017-06-25","0","2017-06-27","0","夹心海苔","传统厚片纯燕麦片","0"
"26056","2017-06-25","0","2017-07-08","0","夹心海苔","泰国龙眼","0"
"26056","2017-06-25","0","2017-06-25","0","夹心海苔","山楂优块","0"
"26056","2017-06-25","0","2017-07-09","0","夹心海苔","海阳网纹蜜瓜","0"
"26056","2017-06-25","0","2017-07-07","0","夹心海苔","泰国沙竹(山竹)","0"
"26056","2017-06-25","0","2017-06-25","0","夹心海苔","砀山黄油桃","0"
"26056","2017-06-25","0","2017-07-07","0","夹心海苔","高山东魁杨梅","0"
"26056","2017-06-25","0","2017-06-25","0","夹心海苔","新西兰红玫瑰苹果","0"
"26056","2017-06-25","0","2017-07-03","0","夹心海苔","海南桥沙地瓜","0"
"26056","2017-06-25","0","2017-07-05","0","夹心海苔","海南桥沙地瓜","0"
"26056","2017-06-25","0","2017-06-25","0","夹心海苔","桂味荔枝","0"
"26056","2017-06-25","0","2017-07-08","0","夹心海苔","阳山水蜜桃","0"
"26056","2017-06-25","0","2017-07-08","0","夹心海苔","阳山水蜜桃","0"
"26346","2017-06-15","0",NULL,NULL,"麻辣小龙虾",NULL,"0"
"26373","2017-06-16","0",NULL,NULL,"丹东黄蚬",NULL,"0"
"26551","2017-06-09","0","2017-06-09","0","刘老汉薄皮吊瓜","珍珠小笼包","0"
"26551","2017-06-09","0","2017-06-09","0","刘老汉薄皮吊瓜","高山东魁杨梅","0"
"26551","2017-06-09","0","2017-06-15","0","刘老汉薄皮吊瓜","雷尼黄樱桃","0"
"26551","2017-06-09","0","2017-06-16","1","刘老汉薄皮吊瓜","雷尼黄樱桃","0"
"26551","2017-06-09","0","2017-06-18","1","刘老汉薄皮吊瓜","雷尼黄樱桃","0"
"27082","2017-06-18","0",NULL,NULL,"蓝莓",NULL,"1"
"27106","2017-06-10","0",NULL,NULL,"刘老汉薄皮吊瓜",NULL,"0"
"27179","2017-06-10","0","2017-06-19","0","刘老汉薄皮吊瓜","泰国椰青","0"
"27179","2017-06-10","0","2017-06-21","0","刘老汉薄皮吊瓜","泰国椰青","0"
"27179","2017-06-10","0","2017-06-28","1","刘老汉薄皮吊瓜","泰国椰青","0"
"27179","2017-06-10","0","2017-07-02","0","刘老汉薄皮吊瓜","多功能清洁膏","0"
"27179","2017-06-10","0","2017-06-27","1","刘老汉薄皮吊瓜","麻辣小龙虾","0"
"27179","2017-06-10","0","2017-06-24","0","刘老汉薄皮吊瓜","长绒棉毛巾","0"
"27204","2017-06-22","1","2017-06-22","0","夹心海苔","舟山带鱼","1"
"27204","2017-06-22","1","2017-06-29","1","夹心海苔","泰国椰青","1"
"27204","2017-06-22","1","2017-07-09","1","夹心海苔","进口超甜香蕉","1"
"27204","2017-06-22","1","2017-07-04","1","夹心海苔","泰国沙竹(山竹)","1"
"27204","2017-06-22","1","2017-07-06","0","夹心海苔","泰国沙竹(山竹)","1"
"27204","2017-06-22","1","2017-07-06","0","夹心海苔","泰国沙竹(山竹)","1"
"27204","2017-06-22","1","2017-06-27","1","夹心海苔","麻辣小龙虾","1"
"27295","2017-06-14","0",NULL,NULL,"泰国沙竹(山竹)",NULL,"0"
"27351","2017-06-19","0","2017-07-06","0","丹东黄蚬","满天星百香果","1"
"27351","2017-06-19","0","2017-06-19","0","丹东黄蚬","手工面","1"
"27351","2017-06-19","0","2017-06-19","0","丹东黄蚬","泰国椰青","1"
"27351","2017-06-19","0","2017-06-20","1","丹东黄蚬","法国猪肋排","1"
"27352","2017-06-26","0",NULL,NULL,"丹东黄蚬",NULL,"1"
"27861","2017-06-20","0",NULL,NULL,"夹心海苔",NULL,"1"
"27994","2017-06-09","0","2017-06-27","1","刘老汉薄皮吊瓜","南极银鳕鱼(犬牙鱼)","0"
"28439","2017-06-17","0","2017-06-17","1","生态鲜腐竹","蓝莓","1"
"28631","2017-06-22","0",NULL,NULL,"舟山带鱼",NULL,"0"
"28710","2017-06-02","0","2017-06-30","1","泰国沙竹(山竹)","刘老汉薄皮吊瓜","0"
"28710","2017-06-02","0","2017-06-22","0","泰国沙竹(山竹)","厄瓜多尔白虾","0"
"28710","2017-06-02","0","2017-06-22","0","泰国沙竹(山竹)","湖南米粉","0"
"28710","2017-06-02","0","2017-06-03","1","泰国沙竹(山竹)","泰国沙竹(山竹)","0"
"28710","2017-06-02","0","2017-06-22","0","泰国沙竹(山竹)","砀山黄油桃","0"
"28719","2017-06-23","1","2017-07-01","0","藜麦","舟山带鱼","0"
"28719","2017-06-23","1","2017-06-24","0","藜麦","大黄鱼","0"
"28719","2017-06-23","1","2017-06-28","1","藜麦","大黄鱼","0"
"28719","2017-06-23","1","2017-06-24","0","藜麦","生态鲜腐竹","0"
"28719","2017-06-23","1","2017-07-10","0","藜麦","泰国沙竹(山竹)","0"
"28730","2017-06-26","0","2017-06-26","0","巨无霸金奇异果","每日坚果","0"
"28730","2017-06-26","0","2017-06-27","1","巨无霸金奇异果","六鳌红蜜薯","0"
"28730","2017-06-26","0","2017-06-27","1","巨无霸金奇异果","泰国椰青","0"
"28730","2017-06-26","0","2017-06-27","1","巨无霸金奇异果","海南桥沙地瓜","0"
"28788","2017-06-26","0","2017-06-26","0","泰国椰青","藜麦","0"
"28788","2017-06-26","0","2017-06-26","0","泰国椰青","重庆小面","0"
"28973","2017-06-04","0",NULL,NULL,"泰国沙竹(山竹)",NULL,"0"
"28975","2017-06-25","0",NULL,NULL,"进口意面",NULL,"0"
"29178","2017-06-29","0","2017-07-07","0","丹东黄蚬","丹东黄蚬","0"
"29199","2017-06-09","0","2017-06-09","0","丹东黄蚬","丹东黄蚬","0"
"29199","2017-06-09","0","2017-06-13","0","丹东黄蚬","生态鲜腐竹","0"
"29299","2017-06-21","0",NULL,NULL,"裸酸奶",NULL,"0"
"29456","2017-06-09","0",NULL,NULL,"藜麦",NULL,"0"
"29509","2017-06-14","0",NULL,NULL,"泰国椰青",NULL,"0"
"29519","2017-06-07","0",NULL,NULL,"山楂优块",NULL,"0"
"29561","2017-06-13","0",NULL,NULL,"刘老汉薄皮吊瓜",NULL,"0"
"29681","2017-06-25","0","2017-06-30","1","桂味荔枝","丹东黄蚬","0"
"29681","2017-06-25","0","2017-06-30","0","桂味荔枝","泰国椰青","0"
"29681","2017-06-25","0","2017-06-25","0","桂味荔枝","砀山黄油桃","0"
"30153","2017-06-09","1","2017-06-09","0","丹东黄蚬","藜麦","1"
"30153","2017-06-09","1","2017-06-14","1","丹东黄蚬","藜麦","1"
"30260","2017-06-18","0","2017-07-01","0","蓝莓","蓝莓","1"
"30666","2017-06-04","1",NULL,NULL,"夹心海苔",NULL,"0"
"30841","2017-06-14","1","2017-06-16","1","麻辣小龙虾","丹东黄蚬","0"
"31033","2017-06-07","0","2017-06-10","0","裸酸奶","红心火龙果","0"
"31033","2017-06-07","0","2017-07-02","0","裸酸奶","蔗汁红糖","0"
"31033","2017-06-07","0","2017-06-07","0","裸酸奶","古田鲜银耳","0"
"31033","2017-06-07","0","2017-06-13","0","裸酸奶","满天星百香果","0"
"31033","2017-06-07","0","2017-07-07","0","裸酸奶","山楂优块","0"
"31298","2017-06-09","0","2017-07-07","0","泰国椰青","麻辣小龙虾","0"
"31367","2017-06-01","0",NULL,NULL,"砀山黄油桃",NULL,"0"
"31603","2017-06-26","0",NULL,NULL,"泰国椰青",NULL,"0"
