id,first,last,num,userid,total_cnt,promotion_cnt,promotion_amt,regular_cnt,regular_amt
"182544","2017-03-25","2017-04-18","6","182544","7","2","16.0000","4","193.0000"
"182550","2017-03-25","2017-04-24","6","182550","7","1","10.0000","6","493.7000"
"182554","2017-03-27","2017-04-19","2","182554","2",NULL,NULL,"2","98.9000"
"182558","2017-04-01","2017-04-11","2","182558","2",NULL,NULL,"2","216.0000"
"182562","2017-03-26","2017-03-30","2","182562","2",NULL,NULL,"2","199.8000"
"182566","2017-03-25","2017-04-16","3","182566","12","2","17.0000","5","295.0000"
"182567","2017-04-15","2017-04-15","1","182567","1",NULL,NULL,"1","85.0000"
"182572","2017-03-25","2017-03-25","1","182572","2",NULL,NULL,"2","199.8000"
"182585","2017-03-26","2017-03-26","1","182585","1","1","7.0000",NULL,NULL
"182589","2017-03-25","2017-03-25","1","182589","1","1","7.0000",NULL,NULL
"182595","2017-04-25","2017-04-25","1","182595","2",NULL,NULL,"2","138.0000"
"182599","2017-05-12","2017-05-12","1","182599","1","1","5.0000",NULL,NULL
"182601","2017-05-09","2017-05-09","1","182601","1",NULL,NULL,"1","55.9000"
"182613","2017-04-12","2017-04-12","1","182613","1",NULL,NULL,"1","69.9000"
"182618","2017-04-01","2017-04-01","1","182618","1",NULL,NULL,"1","89.0000"
"182626","2017-05-04","2017-05-04","1","182626","1",NULL,NULL,"1","119.0000"
"182633","2017-03-25","2017-04-25","2","182633","2",NULL,NULL,"2","169.8000"
"182641","2017-03-25","2017-03-25","1","182641","1",NULL,NULL,"1","138.0000"
"182645","2017-03-27","2017-03-27","1","182645","1",NULL,NULL,"1","49.0000"
"182657","2017-03-25","2017-03-25","1","182657","1","1","7.0000",NULL,NULL
"182659","2017-03-28","2017-04-04","4","182659","4",NULL,NULL,"4","295.8000"
"182664","2017-04-22","2017-05-03","3","182664","3","1","13.0000","2","147.0000"
"182675","2017-03-25","2017-03-25","1","182675","2",NULL,NULL,"2","276.0000"
"182676","2017-04-07","2017-05-09","2","182676","2","2","40.0000",NULL,NULL
"182681","2017-03-25","2017-03-26","5","182681","5","2","16.0000","3","306.9000"
"182686","2017-03-25","2017-03-25","1","182686","1","1","7.0000",NULL,NULL
"182692","2017-03-25","2017-03-25","1","182692","1","1","6.0000",NULL,NULL
"182697","2017-05-06","2017-05-06","2","182697","3",NULL,NULL,"3","217.8000"
"182703","2017-04-03","2017-04-15","2","182703","2","1","20.0000","1","69.9000"
"182704","2017-03-25","2017-04-03","2","182704","2","1","7.0000","1","48.0000"
"182717","2017-03-25","2017-03-25","1","182717","2","1","7.0000",NULL,NULL
"182726","2017-03-27","2017-04-14","2","182726","2",NULL,NULL,"2","128.9000"
"182731","2017-03-25","2017-03-29","4","182731","7",NULL,NULL,"7","429.3000"
"182737","2017-03-25","2017-05-12","6","182737","8","1","6.0000","7","430.4000"
"182759","2017-04-04","2017-04-04","1","182759","1",NULL,NULL,"1","48.0000"
"182760","2017-04-07","2017-04-28","10","182760","13","3","51.0000","10","829.7000"
"182763","2017-03-25","2017-03-25","1","182763","1","1","7.0000",NULL,NULL
"182769","2017-03-25","2017-03-25","1","182769","1",NULL,NULL,"1","59.0000"
"182776","2017-03-25","2017-03-30","3","182776","3","1","7.0000","2","188.9000"
"182787","2017-03-25","2017-03-25","2","182787","2","1","6.0000","1","69.9000"
"182794","2017-05-14","2017-05-14","1","182794","1",NULL,NULL,"1","78.0000"
"182797","2017-04-19","2017-04-25","2","182797","2",NULL,NULL,"2","118.9000"
"182798","2017-03-25","2017-04-08","3","182798","3",NULL,NULL,"3","166.9000"
"182800","2017-03-25","2017-04-07","8","182800","10",NULL,NULL,"10","999.0000"
