id,orders,days
"167232","11","2"
"167319","219","0"
"167338","14","0"
"167358","12","6"
"167362","5","1"
"167364","65","1"
"167382","8","2"
"167402","3","9"
"167490","98","2"
"167526","23","5"
"167704","74","2"
"167743","2","13"
"167852","1","10"
"167857","1","5"
"167898","10","4"
"168019","19","7"
"168023","42","1"
"168122","29","0"
"168989","26","10"
"169064","11","4"
"169112","11","2"
"169162","4","0"
"169170","2","5"
"169174","7","5"
"169724","5","24"
"169864","6","8"
"169892","23","2"
"169923","14","1"
"169931","9","4"
"170104","9","1"
"170109","137","1"
"170142","2","17"
"170144","18","2"
"170169","14","10"
"170248","2","15"
"170281","1","10"
"170406","1","3"
"170443","1","22"
"170525","5","6"
"170599","19","4"
"170620","4","6"
"170661","41","1"
"170714","17","3"
"170806","19","6"
"170831","2","21"
"170856","6","14"
"170878","453","0"
"170882","9","3"
"170957","1","8"
"171026","751","0"
"171046","1","26"
"171136","4","22"
"171154","1","10"
"171155","43","1"
"171336","9","6"
"171362","36","2"
"171363","11","2"
"171536","4","10"
"171547","36","4"
"171566","2","9"
"171576","1","28"
"171601","6","6"
"171644","12","0"
"171790","18","2"
"171791","14","6"
"171838","22","13"
"171882","54","2"
"171960","13","13"
"171998","14","0"
"172013","5","13"
"172038","9","11"
"172056","13","9"
"172057","134","1"
"172062","30","0"
"172081","9","7"
"172084","12","1"
"172189","43","2"
"172192","17","0"
"172282","280","0"
"172454","3","7"
"172522","2","23"
"172595","11","6"
"172604","8","5"
"172658","48","0"
"172779","9","6"
"172793","17","0"
"172860","36","5"
"172978","10","0"
"173130","15","9"
"173212","8","7"
"173283","60","1"
"173759","53","0"
"173797","5","17"
"173822","22","1"
"173868","21","3"
"174019","88","0"
"174043","1","16"
"174050","2","12"
"174104","4","6"
"174190","5","4"
"174200","23","1"
"174220","2","10"
"174330","9","1"
"174365","62","0"
"174369","19","1"
"174595","3","12"
"174628","1","20"
"174641","5","3"
"174704","18","1"
"174843","2","18"
"174845","5","16"
"174866","1","11"
"174874","1","20"
"174925","7","1"
"175030","3","1"
"175216","12","6"
"175266","2","25"
"175320","2","9"
"175534","28","1"
"175581","39","0"
"175615","90","0"
"175868","10","0"
"175880","29","6"
"175904","2","3"
"176003","52","8"
"176017","3","12"
"176102","2","28"
"176155","104","2"
"176305","1","4"
"176328","6","2"
"176405","15","0"
"176436","5","13"
"176576","34","3"
"176580","15","0"
"177028","1","4"
"177475","346","0"
"177508","5","10"
"177588","8","7"
"177589","14","1"
"177704","8","13"
"177746","20","0"
"177828","2","4"
"177942","16","4"
"178001","28","3"
"178238","1","18"
"178410","5","12"
"178526","12","9"
"178538","12","4"
"178599","1","30"
"178647","12","1"
"178757","8","15"
"178957","126","0"
"179087","2","21"
"179225","1","9"
"179330","1","21"
"179425","8","26"
"179629","1","24"
"179648","11","3"
"179910","17","9"
"179948","10","17"
"179992","1","14"
"180075","23","2"
"180108","2","20"
"180331","8","5"
"180416","250","0"
"180425","29","3"
"180587","3","6"
"180663","3","18"
"180765","13","4"
"180776","20","1"
"180801","11","1"
"180831","3","0"
"180902","33","0"
"180967","49","1"
"181105","10","9"
"181425","4","3"
"181456","120","0"
"181548","5","0"
"181998","11","0"
"182079","217","1"
"182172","105","1"
"182558","6","23"
"182687","3","5"
"182765","4","3"
"182797","1","30"
"182883","16","4"
"182955","2","22"
"182956","28","1"
"182994","5","6"
"183120","26","1"
"183136","2","20"
"183230","4","12"
"183380","3","22"
"183391","6","4"
"183397","6","12"
"183556","8","5"
"183773","12","9"
"183790","3","22"
"183832","1","30"
"184143","13","0"
"184162","2","11"
"184180","7","18"
"184292","6","1"
"184529","31","0"
"184625","9","6"
"184901","4","6"
"185065","4","4"
"185117","6","16"
"185462","21","1"
"185566","27","2"
"185634","9","3"
"185730","11","2"
"185765","14","1"
"185859","15","13"
"186014","3","9"
"186017","6","9"
"186102","28","3"
"186112","1","20"
"186133","2","0"
"186272","37","5"
"186342","20","0"
"186428","16","1"
"186507","13","0"
"186540","3","13"
"186584",NULL,"38"
"186588","1","30"
"186671","1","25"
"186779","1","13"
"186848","8","2"
"186881","16","0"
"187016","1","19"
"187074","27","0"
"187362","141","0"
"187369","18","14"
"187411","36","4"
"187436","4","1"
"187448","9","4"
"187493","4","1"
"187900","1","18"
"187910","4","0"
"187913","15","2"
"187945","93","0"
"187996","23","2"
"188007","21","3"
"188086","8","3"
"188150","56","2"
"188218","116","0"
"188621","22","1"
"188782","6","10"
"188980","20","0"
"188981","23","3"
"189093","1","23"
"189259","1","20"
