id,first,last,num,total_cnt,promotion_cnt,coupon_cnt
"271487","2017-05-06","2017-06-08","8","8","1",NULL
"271605","2017-04-29","2017-06-05","4","5","1",NULL
"271845","2017-05-29","2017-05-29","1","1",NULL,NULL
"271872","2017-05-01","2017-06-01","16","16","3","6"
"271893","2017-04-26","2017-05-26","6","6","2","3"
"271983","2017-05-15","2017-05-27","2","2","1",NULL
"271993","2017-05-03","2017-05-30","9","9","3","7"
"272036","2017-06-02","2017-06-07","3","3",NULL,NULL
"272066","2017-05-01","2017-05-23","2","2",NULL,NULL
"272152","2017-04-28","2017-05-25","2","3","1",NULL
"272288","2017-04-28","2017-05-28","3","3","1","1"
"272308","2017-05-08","2017-05-29","5","5","1",NULL
"272333","2017-05-02","2017-05-25","2","2","2",NULL
"272377","2017-05-02","2017-05-27","17","17","2","14"
"272393","2017-04-28","2017-05-27","7","7","1",NULL
"272411","2017-05-15","2017-06-01","5","5","2",NULL
"272441","2017-05-08","2017-06-02","9","9",NULL,"3"
"272444","2017-04-27","2017-05-25","11","11","3","1"
"272481","2017-04-27","2017-05-23","3","3",NULL,NULL
"272486","2017-05-05","2017-05-24","5","5",NULL,"1"
"272527","2017-05-25","2017-05-25","1","1","1",NULL
"272605","2017-05-11","2017-05-24","2","2",NULL,"1"
"272714","2017-04-25","2017-05-27","11","11",NULL,"2"
"272744","2017-05-09","2017-05-30","2","2",NULL,NULL
"272772","2017-05-18","2017-06-03","2","2",NULL,NULL
"272774","2017-04-26","2017-05-25","6","6",NULL,"2"
"272890","2017-05-23","2017-06-07","5","5","1","4"
"272907","2017-04-25","2017-06-07","8","8",NULL,"5"
"272957","2017-06-08","2017-06-08","1","1",NULL,NULL
"272966","2017-05-16","2017-05-26","5","5","2",NULL
"272968","2017-04-26","2017-05-28","3","3",NULL,"1"
"273064","2017-05-18","2017-05-24","2","2",NULL,NULL
"273256","2017-05-25","2017-05-25","1","1",NULL,"1"
"273281","2017-05-25","2017-05-25","1","1","1",NULL
"273351","2017-04-25","2017-06-07","22","22","1",NULL
"273372","2017-06-02","2017-06-02","1","1",NULL,NULL
"273502","2017-05-04","2017-05-23","2","2",NULL,"1"
"273579","2017-05-01","2017-05-23","3","3","1","2"
"273606","2017-05-10","2017-06-05","2","2",NULL,NULL
"273648","2017-04-29","2017-05-31","3","3",NULL,NULL
"273702","2017-06-03","2017-06-08","2","3","1",NULL
"273904","2017-05-30","2017-05-30","1","1",NULL,"1"
"273907","2017-05-02","2017-06-07","2","2",NULL,NULL
"273945","2017-04-27","2017-06-04","4","4",NULL,"1"
"273961","2017-06-01","2017-06-01","2","2",NULL,"2"
"274038","2017-05-21","2017-05-28","2","2",NULL,"1"
"274045","2017-04-28","2017-06-03","2","3",NULL,NULL
"274051","2017-05-06","2017-05-25","2","2","1",NULL
"274052","2017-04-29","2017-06-04","7","7","1","3"
"274061","2017-06-02","2017-06-02","1","1",NULL,NULL
"274152","2017-05-07","2017-05-28","5","5","1","2"
"274282","2017-04-26","2017-05-27","11","11","2","8"
"274312","2017-05-05","2017-06-02","5","5","1","1"
"274401","2017-04-26","2017-06-01","3","3",NULL,"2"
"274472","2017-04-26","2017-05-23","3","3",NULL,NULL
"274495","2017-04-26","2017-05-27","4","4","1",NULL
"274518","2017-05-22","2017-05-26","2","2",NULL,NULL
"274589","2017-04-28","2017-05-27","5","5","1",NULL
"274615","2017-04-26","2017-05-27","7","7","1",NULL
"274635","2017-05-29","2017-06-05","4","4",NULL,NULL
"274648","2017-05-02","2017-05-26","3","3","1","1"
