
id,day,time
"1568","7","2017-05-13 10"
"1568","7","2017-05-13 10"
"1568","7","2017-05-13 10"
"1568","1","2017-05-14 10"
"1568","1","2017-05-14 10"
"1568","1","2017-05-14 10"
"1568","7","2017-05-20 14"
"1568","1","2017-05-21 10"
"1568","1","2017-05-21 21"
"1568","7","2017-05-27 13"
"1568","7","2017-05-27 14"
"1577","1","2017-03-26 13"
"1577","1","2017-03-26 13"
"1577","1","2017-03-26 13"
"1577","1","2017-03-26 13"
"1577","1","2017-04-16 14"
"1577","7","2017-04-29 23"
"1577","7","2017-04-29 23"
"1610","1","2017-03-12 14"
"1610","1","2017-03-12 22"
"1610","7","2017-03-25 09"
"1610","7","2017-04-08 20"
"1647","1","2017-04-30 12"
"1688","7","2017-03-04 06"
"1688","7","2017-03-04 06"
"1688","7","2017-03-18 19"
"1688","7","2017-03-25 12"
"1688","1","2017-04-23 09"
"1688","1","2017-04-23 09"
"1688","1","2017-04-30 11"
"1688","1","2017-04-30 11"
"1688","1","2017-04-30 11"
"1688","1","2017-05-07 09"
"1688","7","2017-05-13 18"
"1697","1","2017-05-07 09"
"1743","1","2017-03-26 20"
"1753","7","2017-05-13 16"
"1753","1","2017-05-21 08"
"1754","1","2017-03-12 16"
"1827","7","2017-04-22 08"
"1875","7","2017-04-22 20"
"1915","7","2017-04-15 14"
"1915","7","2017-04-15 14"
"1915","7","2017-04-15 15"
"1915","1","2017-04-16 21"
"1915","1","2017-04-16 21"
"1915","1","2017-04-16 21"
"1915","1","2017-04-16 21"
"1941","7","2017-04-01 20"
"2015","7","2017-03-11 10"
"2015","7","2017-03-18 21"
"2015","1","2017-04-23 15"
"2067","1","2017-03-26 14"
"2067","1","2017-03-26 22"
"2067","1","2017-05-14 10"
"3311","7","2017-03-25 12"
"3311","7","2017-03-25 23"
"3311","1","2017-04-09 19"
"3311","7","2017-04-29 21"
"3311","7","2017-04-29 21"
"3311","7","2017-04-29 21"
"3311","7","2017-05-13 10"
"3311","1","2017-05-21 21"
"3339","1","2017-03-26 12"
"3339","1","2017-03-26 12"
"3339","1","2017-04-02 19"
"3339","7","2017-04-22 20"
"3402","1","2017-05-07 10"
"3402","1","2017-05-07 10"
"3404","7","2017-03-11 11"
"3404","1","2017-03-12 14"
"3406","7","2017-03-18 11"
"3406","1","2017-03-19 19"
"3407","1","2017-04-09 14"
"3407","1","2017-04-16 22"
"3407","1","2017-05-21 19"
"3407","1","2017-05-21 19"
"3408","7","2017-03-04 10"
"3408","7","2017-04-15 21"
"3408","1","2017-04-16 18"
"3408","1","2017-05-07 15"
"3408","7","2017-05-13 21"
"3409","1","2017-04-16 18"
"3409","1","2017-05-21 19"
"3452","1","2017-04-16 20"
"3452","7","2017-04-22 19"
"3455","1","2017-03-12 20"
"3474","1","2017-05-07 08"
"3495","1","2017-05-07 09"
"3496","1","2017-04-23 10"
"3496","1","2017-05-21 21"
"3496","1","2017-05-21 21"
"3497","7","2017-03-25 09"
"3502","1","2017-04-16 12"
"3539","7","2017-05-20 12"
"3539","7","2017-05-20 19"
"3539","7","2017-05-20 19"
"3539","1","2017-05-21 20"
"3550","7","2017-03-11 04"
"3550","7","2017-03-11 04"
"3550","7","2017-03-11 04"
"3550","7","2017-03-11 04"
"3550","7","2017-04-15 06"
"3550","7","2017-05-13 11"
"3550","7","2017-05-13 11"
"3700","7","2017-04-29 16"
"3823","1","2017-03-12 14"
"3883","1","2017-05-07 21"
"3909","1","2017-03-19 18"
"3909","1","2017-03-19 18"
"3989","7","2017-03-04 09"
"4115","1","2017-05-21 19"
"4135","7","2017-03-11 18"
"4135","7","2017-05-20 13"
"4194","1","2017-03-19 20"
"4194","1","2017-03-19 20"
"4194","1","2017-03-26 22"
"4194","7","2017-04-15 15"
"4194","7","2017-04-15 15"
"4194","7","2017-04-15 15"
"4194","7","2017-04-15 20"
"4194","7","2017-04-22 11"
"4194","7","2017-04-29 09"
"4194","7","2017-04-29 09"
"4194","7","2017-04-29 09"
"4194","7","2017-05-13 17"
"4196","7","2017-04-08 20"
"4196","7","2017-04-08 20"
"4234","7","2017-03-18 12"
"4245","1","2017-03-12 15"
"4245","1","2017-03-12 15"
"4245","1","2017-03-12 15"
"4249","7","2017-03-11 10"
"4249","7","2017-03-11 10"
"4249","1","2017-03-12 17"
"4249","7","2017-03-18 14"
"4249","7","2017-03-25 23"
"4249","7","2017-03-25 23"
"4249","1","2017-03-26 00"
"4249","1","2017-04-23 11"
"4249","7","2017-05-13 13"
"4250","7","2017-03-11 18"
"4250","1","2017-03-19 19"
"4250","1","2017-04-16 18"
"4250","1","2017-04-23 22"
"4250","1","2017-04-23 22"
"4250","1","2017-04-23 23"
"4250","1","2017-05-21 20"
"4250","1","2017-05-21 20"
"4255","7","2017-03-04 10"
"4255","7","2017-03-04 22"
"4255","7","2017-03-11 20"
"4255","7","2017-03-18 21"
"4256","7","2017-03-11 16"
"4256","7","2017-03-25 22"
"4256","1","2017-05-07 12"
"4258","7","2017-03-18 14"
"4258","7","2017-03-18 19"
"4258","7","2017-03-25 07"
"4258","7","2017-03-25 07"
"4258","7","2017-03-25 07"
"4258","7","2017-03-25 07"
"4258","7","2017-04-08 12"
"4258","7","2017-04-22 09"
"4258","7","2017-04-29 21"
"4258","7","2017-05-06 20"
"4258","1","2017-05-21 20"
"4258","7","2017-05-27 13"
"4258","7","2017-05-27 13"
"4259","1","2017-03-05 09"
"4259","1","2017-03-12 08"
"4259","1","2017-03-26 23"
"4259","1","2017-03-26 23"
"4260","7","2017-03-18 10"
"4260","7","2017-03-18 19"
"4260","7","2017-03-18 19"
"4260","7","2017-03-18 19"
"4260","7","2017-03-18 19"
"4260","7","2017-04-22 22"
"4260","1","2017-04-30 21"
"4260","1","2017-04-30 23"
"4262","1","2017-03-12 14"
"4263","1","2017-03-19 20"
"4265","1","2017-04-23 10"
"4265","1","2017-04-23 10"
"4265","1","2017-04-23 12"
"4265","1","2017-05-14 10"
"4265","1","2017-05-14 10"
"4265","1","2017-05-14 10"
"4266","1","2017-03-19 21"
"4266","1","2017-03-26 12"
"4267","7","2017-04-08 21"
"4267","7","2017-04-08 21"
"4270","1","2017-03-05 13"
"4270","7","2017-03-11 12"
"4270","1","2017-03-12 13"
"4270","7","2017-03-18 09"
"4270","1","2017-03-19 19"
"4270","7","2017-03-25 08"
"4270","7","2017-03-25 08"
"4270","1","2017-03-26 08"
"4270","7","2017-04-01 17"
"4275","7","2017-04-29 16"
"4277","7","2017-04-08 14"
"4277","1","2017-04-16 22"
"4277","1","2017-04-30 21"
"4277","1","2017-05-14 17"
"4280","1","2017-05-14 17"
"4284","1","2017-03-12 14"
"4284","1","2017-03-12 15"
"4284","7","2017-03-25 21"
"4285","7","2017-04-15 20"
"4285","1","2017-04-30 11"
"4285","7","2017-05-13 10"
"4285","7","2017-05-13 10"
"4285","7","2017-05-13 10"
"4285","1","2017-05-14 10"
"4285","1","2017-05-14 14"
"4285","1","2017-05-21 18"
"4286","1","2017-04-09 10"
"4286","1","2017-04-09 10"
"4286","1","2017-04-16 18"
"4286","7","2017-05-13 20"
"4286","7","2017-05-13 20"
"4286","7","2017-05-27 11"
"4289","7","2017-03-11 17"
"4298","1","2017-03-12 15"
"4298","1","2017-03-12 15"
"4298","1","2017-03-12 15"
"4299","7","2017-03-11 09"
"4299","7","2017-03-25 21"
"4299","1","2017-04-16 21"
"4301","7","2017-04-01 21"
"4301","7","2017-04-01 21"
"4301","7","2017-04-01 21"
"4301","1","2017-04-23 21"
"4301","7","2017-04-29 18"
"4301","7","2017-05-13 22"
"4301","1","2017-05-21 18"
"4304","7","2017-03-11 08"
"4304","1","2017-03-26 12"
"4304","7","2017-04-22 15"
"4304","1","2017-05-21 20"
"4306","7","2017-03-11 14"
"4308","1","2017-03-12 15"
"4308","1","2017-03-12 15"
"4308","1","2017-03-19 21"
"4308","1","2017-04-09 20"
"4308","1","2017-04-23 16"
"4308","7","2017-05-06 09"
"4308","1","2017-05-07 08"
"4308","1","2017-05-07 08"
"4308","1","2017-05-07 08"
"4308","1","2017-05-14 14"
"4308","1","2017-05-14 14"
"4309","1","2017-03-26 22"
"4309","1","2017-04-16 18"
"4309","1","2017-04-16 18"
"4310","7","2017-03-04 09"
"4310","7","2017-03-04 09"
"4310","7","2017-03-18 10"
"4310","7","2017-03-25 12"
"4310","1","2017-04-02 07"
"4310","1","2017-04-09 14"
"4310","1","2017-04-09 14"
"4311","7","2017-03-18 16"
"4313","1","2017-03-12 14"
