id,hour
"7046","17"
"7066","21"
"7075","13"
"7075","21"
"7089","22"
"7172","07"
"7173","23"
"7195","16"
"7224","02"
"7224","16"
"7224","22"
"7241","09"
"7244","07"
"7244","16"
"7244","22"
"7244","23"
"7246","22"
"7283","23"
"7292","16"
"7296","09"
"7296","10"
"7340","19"
"7403","10"
"7412","09"
"7412","10"
"7412","14"
"7472","15"
"7504","23"
"7517","22"
"7518","15"
"7518","18"
"7518","19"
"7518","20"
"7521","19"
"7526","17"
"7526","20"
"7534","18"
"7534","19"
"7587","10"
"7587","20"
"7602","21"
"7649","12"
"7661","10"
"7662","20"
"7722","22"
"7723","10"
"7728","10"
"7728","14"
"7745","17"
"7760","19"
"7775","04"
"7782","08"
"7786","20"
"7815","00"
"7815","09"
"7815","10"
"7815","16"
"7815","21"
"7821","10"
"7821","20"
"7821","22"
"7847","11"
"7847","22"
"7860","10"
"7860","14"
"7860","17"
"7860","20"
"7860","21"
"7864","23"
"7885","09"
"7885","22"
"7889","23"
"7890","09"
"7890","16"
"7893","07"
"7912","22"
"7926","09"
"7997","22"
"8006","22"
"8036","09"
"8050","08"
"8052","17"
"8098","10"
"8098","20"
"8121","15"
"8121","20"
"8124","11"
"8180","11"
"8197","08"
"8197","17"
"8212","10"
"8212","17"
"8214","08"
"8214","12"
"8217","23"
"8258","16"
"8258","18"
"8265","18"
"8265","21"
"8265","23"
"8273","23"
"8292","16"
"8312","10"
"8312","14"
"8312","15"
"8312","19"
"8312","20"
"8316","21"
"8317","21"
"8340","22"
"8350","12"
"8395","09"
"8457","00"
"8510","10"
"8542","07"
"8542","12"
"8547","12"
"8572","15"
"8572","19"
"8572","20"
"8615","10"
"8634","14"
"8634","15"
"8640","15"
"8668","19"
"8922","14"
"9000","16"
"9004","22"
"9029","13"
"9083","17"
"9083","19"
"9087","11"
"9106","16"
"9119","16"
"9135","19"
"9154","16"
"9154","17"
"9156","08"
"9156","19"
"9156","23"
"9158","20"
"9160","10"
"9177","14"
"9218","12"
"9261","12"
"9266","17"
"9349","15"
"9352","23"
"9367","17"
"9383","14"
"9393","11"
"9393","12"
"9393","15"
"9405","20"
"9416","12"
"9451","10"
"9482","10"
"9491","13"
"9498","19"
"9498","23"
"9530","20"
"9547","16"
"9578","08"
"9628","17"
"9667","20"
"9673","23"
"9674","09"
"9674","20"
"9676","12"
"9676","17"
"9693","22"
"9696","20"
"9697","11"
"9698","14"
"9698","21"
"9711","10"
"9713","15"
"9714","14"
"9714","20"
"9718","17"
"9719","19"
"9720","17"
"9723","19"
"9731","21"
"9740","10"
"9740","11"
"9740","17"
"9745","13"
"9745","15"
"9745","16"
"9748","09"
"9748","10"
"9748","18"
"9748","21"
"9771","13"
"9783","19"
"9786","14"
"9790","14"
"9801","10"
"9801","13"
"9801","21"
"9813","13"
"9819","20"
"9857","12"
"9872","16"
"9874","10"
"9874","11"
"9874","16"
"9874","21"
"9887","06"
"9891","16"
"9891","19"
"9893","16"
"9924","07"
"9925","16"
"9925","18"
"9925","19"
"9929","13"
"9985","07"
"9985","13"
"10003","19"
"10026","12"
"10061","22"
"10076","16"
"10081","12"
"10099","14"
"10099","19"
"10104","09"
"10111","14"
"10114","10"
"10116","19"
"10117","11"
"10133","09"
"10138","09"
"10138","19"
"10163","14"
"10174","15"
"10187","14"
"10187","23"
"10208","19"
"10231","12"
"10234","19"
"10234","22"
"10244","18"
"10259","20"
"10284","19"
"10287","21"
"10304","22"
"10310","21"
"10315","07"
"10322","21"
"10323","23"
"10324","07"
"10324","19"
"10324","21"
"10329","10"
"10329","20"
"10330","10"
"10330","12"
"10334","15"
"10335","12"
"10336","12"
"10336","13"
"10338","09"
"10338","12"
"10338","13"
"10338","15"
"10338","19"
"10341","09"
"10341","19"
"10350","22"
"10365","12"
"10367","04"
"10367","05"
"10369","10"
"10374","01"
"10375","00"
"10375","10"
"10375","19"
"10377","21"
"10388","10"
"10392","22"
"10397","22"
"10403","11"
"10409","12"
"10409","16"
"10432","19"
"10448","19"
"10474","20"
"10508","17"
"10529","10"
"10532","07"
"10532","10"
"10532","21"
"10533","12"
"10545","08"
"10545","13"
"10545","18"
"10597","21"
"10676","18"
"10684","23"
"10689","23"
"10691","15"
"10691","18"
"10691","20"
"10691","21"
"10692","20"
"10694","01"
"10703","09"
"10703","15"
"10703","16"
"10709","19"
"10716","22"
"10717","20"
"10717","23"
"10728","14"
"10729","10"
"10729","13"
"10729","16"
"10729","17"
"10733","16"
"10733","21"
"10736","11"
"10740","11"
"10740","15"
"10740","16"
"10755","09"
"10755","17"
"10755","20"
"10759","22"
"10759","23"
"10766","12"
"10783","18"
"10786","13"
"10800","16"
"10804","18"
"10808","21"
"10813","15"
"10818","09"
"10823","13"
"10835","10"
"10838","22"
"10840","20"
"10840","21"
"10853","20"
"10861","11"
"10872","12"
"10897","21"
"10899","23"
"10911","14"
"10916","12"
"10916","19"
"10919","12"
"10919","14"
"10919","17"
"10925","08"
"10925","12"
"10925","22"
"10934","00"
"10934","21"
"10935","12"
"10951","11"
"10957","12"
"10966","13"
"10977","17"
"10977","21"
"10984","15"
"10984","16"
"10997","23"
"10999","07"
"11003","14"
"11004","12"
"11004","17"
"11004","19"
"11038","19"
"11053","16"
"11055","22"
"11055","23"
"11065","18"
"11070","11"
"11076","18"
"11084","10"
"11103","12"
"11105","23"
"11108","18"
"11130","21"
"11235","12"
"11246","20"
"11278","15"
"11278","21"
"11302","16"
"11324","20"
"11334","13"
"11341","19"
"11346","08"
"11346","21"
"11359","19"
"11368","14"
"11368","17"
"11368","20"
"11370","07"
"11388","22"
"11390","16"
"11392","18"
"11399","18"
"11420","13"
"11433","21"
"11434","12"
"11434","14"
"11435","19"
"11465","19"
"11474","08"
"11474","19"
"11479","19"
"11496","18"
"11499","13"
"11499","15"
"11499","17"
"11507","20"
"11515","13"
"11528","12"
"11529","20"
"11534","18"
"11538","12"
"11538","21"
"11548","11"
"11553","21"
"11558","10"
"11571","22"
"11572","08"
"11579","14"
