time,user_id,order
"2017-03-31 14","138259","7"
"2017-04-03 19","120702","7"
"2017-04-05 21","107346","7"
"2017-04-06 20","31831","7"
"2017-01-04 15","76","7"
"2017-01-06 15","15627","7"
"2017-01-10 11","67280","7"
"2017-01-12 21","165","7"
"2017-01-13 11","46085","7"
"2017-01-13 11","67048","7"
"2017-01-13 14","88623","7"
"2017-01-14 23","35987","7"
"2017-01-15 13","25778","7"
"2017-01-15 19","85184","7"
"2017-01-16 11","92292","7"
"2017-01-18 10","31831","7"
"2017-01-18 20","23776","7"
"2017-01-19 16","45015","7"
"2017-01-20 07","19464","7"
"2017-01-20 09","37447","7"
"2017-02-16 15","88623","7"
"2017-02-24 18","27980","7"
"2017-01-04 19","1472","6"
"2017-01-06 12","73741","6"
"2017-01-06 16","165","6"
"2017-01-06 18","90485","6"
"2017-01-08 20","20442","6"
"2017-01-09 20","165","6"
"2017-01-10 07","37447","6"
"2017-01-10 10","90506","6"
"2017-01-10 12","43351","6"
"2017-01-13 21","3311","6"
"2017-01-14 10","98670","6"
"2017-01-15 21","98736","6"
"2017-01-15 23","31831","6"
"2017-01-16 12","27997","6"
"2017-01-17 11","31831","6"
"2017-01-17 23","11770","6"
"2017-01-18 07","237","6"
"2017-01-18 12","14253","6"
"2017-01-19 07","27997","6"
"2017-01-19 09","40805","6"
"2017-01-19 10","47755","6"
"2017-01-19 21","165","6"
"2017-01-21 15","19464","6"
"2017-02-06 19","114673","6"
"2017-02-07 20","113415","6"
"2017-02-08 10","4376","6"
"2017-02-08 23","6914","6"
"2017-02-10 18","18474","6"
"2017-02-12 10","60407","6"
"2017-02-12 21","18474","6"
"2017-02-22 19","237","6"
"2017-04-30 23","154929","6"
"2017-05-02 16","198915","6"
"2017-05-03 10","43287","6"
"2017-05-03 10","131234","6"
"2017-05-03 10","163205","6"
"2017-05-05 17","207990","6"
"2017-05-07 08","221548","6"
"2017-05-07 09","282966","6"
"2017-05-07 11","270083","6"
"2017-05-08 10","435","6"
"2017-05-09 14","107346","6"
"2017-05-09 19","144063","6"
"2017-05-10 07","296106","6"
"2017-05-10 10","138658","6"
"2017-05-10 14","154100","6"
"2016-04-26 16","165","6"
"2016-05-18 14","165","6"
"2016-05-20 18","3311","6"
"2016-07-03 19","11770","6"
"2016-07-13 17","165","6"
"2016-08-11 20","12465","6"
"2016-08-19 23","10872","6"
"2016-08-24 16","11770","6"
"2016-08-26 09","23443","6"
"2016-09-05 21","21694","6"
"2016-09-06 14","36037","6"
"2016-09-07 20","165","6"
"2016-09-12 12","31437","6"
"2016-09-12 13","165","6"
"2016-09-22 16","165","6"
"2016-09-23 14","165","6"
"2016-10-25 18","52007","6"
"2016-10-26 13","12465","6"
"2016-10-27 14","165","6"
"2016-10-28 19","50694","6"
"2016-11-01 22","237","6"
"2016-11-02 20","45427","6"
"2016-11-07 16","237","6"
"2016-11-09 22","17870","6"
"2016-11-11 00","31848","6"
"2016-11-11 21","55962","6"
"2016-11-14 20","9731","6"
